game_year,check,group,takes,log_loss,brier_score,auc,calibration_intercept,calibration_slope,in_sample_log_loss,model_coefficients,minimum_out_of_fold_gap,fold_splits,fold_groups,fold_seed,actual_rate,predicted_rate,actual_minus_predicted_per_1000,z,run_fingerprint
2024,summary,distance + count (used),252773,0.1314809835105955,0.04012179797133716,0.9363917359301546,-0.0004238884276071865,0.9989469380429696,0.13140078031708985,19.0,1.879156397241794e-05,5.0,game_pk,0.0,,,,,a7662ed446297df8
2024,summary,distance only (comparison),252773,0.13411965929880593,0.04087056294981523,0.9328831134279868,-0.00018925703097361942,0.9989996771885546,0.1340912700511389,8.0,7.912237462070711e-06,5.0,game_pk,0.0,,,,,a7662ed446297df8
2024,by count,0-0,69862,,,,,,,,,,,,0.09115112650654146,0.0913398009687477,-0.18867446220624529,-0.2056628286716543,a7662ed446297df8
2024,by count,0-1,36318,,,,,,,,,,,,0.03667602841566166,0.03678109567974565,-0.10506726408399114,-0.11966473720707753,a7662ed446297df8
2024,by count,0-2,21773,,,,,,,,,,,,0.012171037523538328,0.011727361212749018,0.4436763107893097,0.6573127507101847,a7662ed446297df8
2024,by count,1-0,23446,,,,,,,,,,,,0.09302226392561631,0.09329338695362241,-0.27112302800609556,-0.17160547060450046,a7662ed446297df8
2024,by count,1-1,24385,,,,,,,,,,,,0.05003075661267172,0.049962613156272796,0.06814345639892527,0.05599982166940123,a7662ed446297df8
2024,by count,1-2,26355,,,,,,,,,,,,0.018061088977423638,0.0180077046228285,0.053384354595138045,0.0721012354872122,a7662ed446297df8
2024,by count,2-0,7233,,,,,,,,,,,,0.11184847227982857,0.11119930064398213,0.649171635846435,0.2127143314752059,a7662ed446297df8
2024,by count,2-1,10789,,,,,,,,,,,,0.07109092594309019,0.07073970848449054,0.35121745859964526,0.16691746855858744,a7662ed446297df8
2024,by count,2-2,17950,,,,,,,,,,,,0.029637883008356545,0.029577310451923515,0.06057255643302992,0.054119075915301816,a7662ed446297df8
2024,by count,3-0,2369,,,,,,,,,,,,0.14985225833685098,0.1521299719999482,-2.277713663097231,-0.37901810836458993,a7662ed446297df8
2024,by count,3-1,4113,,,,,,,,,,,,0.09044493070751276,0.09071009862389505,-0.2651679163822862,-0.06975284022542672,a7662ed446297df8
2024,by count,3-2,8180,,,,,,,,,,,,0.04841075794621027,0.048012915939757435,0.39784200645283374,0.19352278135764392,a7662ed446297df8
