game_year,league_plate_appearances,opportunities_per_pa,league_chase_rate,league_cost_per_chase,league_chase_cost_per_600_pa,chase_plus_points_per_run,runs_saved_for_110,runs_saved_for_130,league_average_chase_plus,qualified,qualified_mean_chase_plus,qualified_pa_weighted_chase_plus,qualified_median_chase_plus,qualified_sd_chase_plus,qualified_sd_chase_plus_raw,talent_sd_chase_plus,shrink_target_chase_plus,median_chase_plus_se,run_fingerprint
2024,181953,1.946348782377867,28.624231950844855,0.10956275396770102,36.624246698190696,2.7304315860492547,3.6624246698190697,10.987274009457208,100.0,269,101.42825513324216,101.96212735926855,100.62959453046099,15.74193757702426,25.005854209303273,19.630753534477453,101.7268980580075,14.646498585151722,6113e1c2d8723036
2025,182445,1.9016854394475047,28.268958619755413,0.11543817028771425,37.2348129304251,2.6856587190824466,3.7234812930425103,11.17044387912753,100.0,266,102.19116823937254,102.69001800891068,101.27824056771516,15.966383682045853,24.388061095198236,19.705787755600927,102.59743110944642,13.913944791008657,6113e1c2d8723036
2026,164551,2.0221390328834223,30.519466859006148,0.11584521272559932,42.89604940490205,2.3312170091955426,4.2896049404902055,12.868814821470615,99.99999999999999,267,103.69075571364729,104.04937528023235,103.81290819511209,14.3904262032749,22.155271439011937,18.398783655362912,104.04389242576332,13.811477252733296,6113e1c2d8723036
