batter,player,game_year,plate_appearances,opportunities,chases,chase_rate,cost_per_chase,cost_per_chase_se,runs_saved_per_600_pa,runs_saved_shrunk,standard_error_per_600_pa,chase_plus,chase_plus_raw,chase_plus_se,chase_plus_posterior_sd,league_chase_cost_per_600_pa,runs_saved_vs_anchor_per_600_pa,runs_saved_vs_anchor_shrunk,runs_saved_count_only_per_600_pa,shrinkage_factor,chase_rate_rank,value_rank,rank_gap,total_cost,expected_cost,expected_cost_anchor,mean_runs_saved,standard_deviation,scale_to_600_pa
621493,Taylor Ward,2026,590,1221,186,15.233415233415235,0.1396285446028967,0.01620283954399527,22.60528533438677,19.21552596357611,3.5599963300665274,143.73732142603777,151.45290493070485,8.103067491297393,7.413286516812034,43.93393407977812,14.754252594217437,11.364493223406775,22.566256694352965,0.1630053950427694,1.0,1.0,0.0,25.970909296138785,48.199439874952446,40.4792576804526,0.018205184749233137,0.10018264174778554,1241.6949152542372
678246,Miguel Vargas,2026,619,1267,268,21.152328334648775,0.08869401870705002,0.02013566325748009,24.638991290861338,17.7269780654866,5.315945871073694,140.3491707191457,156.08191437197553,12.099863084013034,10.103405897993214,43.93393407977812,17.467422581371974,10.555409355997234,24.4291535027273,0.3027722088791206,17.0,2.0,15.0,23.769997013489405,49.18922302856135,41.79055464327149,0.020062530398636105,0.15407481017583774,1228.1098546042003
672695,Geraldo Perdomo,2026,608,1278,270,21.12676056338028,0.09506155958970686,0.02040352206342411,24.71360405557541,17.289868681953237,5.58645297052445,139.35424642500067,156.25174383586688,12.715576438887085,10.453656190224489,43.93393407977812,16.83988291500179,9.416147541379619,24.60257061974593,0.32412821130154407,16.0,3.0,13.0,25.66662108922085,50.70973986553727,42.731035776422665,0.019595554598056664,0.15835181625856065,1261.1842105263156
641487,J. P. Crawford,2026,413,876,166,18.949771689497716,0.11972080845599434,0.020474077473120415,23.146662138175916,16.95592158716568,5.157413607038874,138.5941344482741,152.6851569817187,11.739020679718106,9.890468849583206,43.93393407977812,15.368007250844078,9.177266699833842,22.22330918423073,0.2901443824289326,4.0,4.0,0.0,19.87365420369506,35.80627330880615,30.4519658613594,0.01818792135286654,0.11994405025073034,1272.639225181598
680757,Steven Kwan,2026,567,1123,226,20.124666073018698,0.10283546732800089,0.01597697196056472,19.690964784314314,16.075347125043482,4.061238592019423,136.58981937709655,144.81948907320287,9.243967509590103,8.256660059266723,43.93393407977812,13.295674475375487,9.680056816104655,17.842230799512173,0.2022037549348526,10.0,5.0,5.0,23.240815616128202,41.84877733730523,35.80522799535804,0.016569867961867345,0.11452503543018613,1188.3597883597884
650402,Gleyber Torres,2026,376,799,154,19.27409261576971,0.13574920774058236,0.0179603740228767,19.753847436621196,14.844281010101891,4.950924677004356,133.78773451780273,144.96261910156022,11.26902195467891,9.604448210226797,43.93393407977812,11.898718315059405,6.9891518885401,18.97173785666709,0.27360576609322135,6.0,6.0,0.0,20.905377992049683,33.28445571899896,28.361908136153577,0.01549321367578133,0.10976137122547222,1275.0
669364,Xavier Edwards,2026,570,1157,273,23.595505617977526,0.09053637139870195,0.01697342842682141,19.772097778894764,14.768643143435392,5.0126051677855985,133.6155717733302,145.00415952505253,11.409415689210489,9.69092180377234,43.93393407977812,12.918595416721727,7.915140781262355,18.841720854086017,0.27855476121638806,39.0,7.0,32.0,24.716429391845633,43.49992228179566,36.989095037731275,0.016234652454580837,0.1399975460882609,1217.8947368421052
680777,Ryan Jeffers,2026,325,715,183,25.594405594405593,0.07169677444657681,0.023280040368661735,27.368343988948833,14.60683977917901,8.055784258117555,133.24728387094802,162.2943165964869,18.336132255967186,12.974587463223475,43.93393407977812,19.533482438780442,6.771978229010619,28.542003802826866,0.4993068493201924,65.0,8.0,57.0,13.120509723723556,27.945029384404176,23.70114604472963,0.020733593931021845,0.16318751029283127,1320.0
666018,Jonathan Aranda,2026,607,1227,352,28.687856560717194,0.06189330998018006,0.01936377091269312,22.869260399505443,14.267995623189552,6.702939294203528,132.47602547334094,152.0537504289462,15.256861090636434,11.73460312936822,43.93393407977812,16.062306800182252,7.461042023866362,23.74883753059452,0.4084296100835825,115.0,9.0,106.0,21.786445113023383,44.92251355052306,38.036145492541095,0.01885580149755475,0.19358889705847956,1212.8500823723227
802139,Jj Wetherholt,2026,583,1150,244,21.217391304347828,0.10729709148983949,0.01760566032651635,16.65315170214341,13.016409529319471,4.59548168162182,129.62723416865748,137.90498631855624,10.459982193438545,9.088696123536993,43.93393407977812,10.021910267826721,6.385168095002781,16.24385539881392,0.2450098666905788,19.0,10.0,9.0,26.180490323520836,42.36180272743685,35.918446467092465,0.014070706438187837,0.13167381647366033,1183.5334476843911
702332,Caleb Durbin,2026,527,948,267,28.164556962025316,0.0653917657186427,0.019335126314653873,17.977176294741927,12.452335406935191,5.812317707874334,128.3433197316758,140.91865814269624,13.22967730893379,10.733745789832524,43.93393407977812,11.76049499397609,6.2356541061693544,17.166769458879827,0.34172993083554676,104.0,11.0,93.0,17.459601446877603,33.24955462575926,27.789236216586602,0.016656068754094578,0.16580764136987383,1079.3168880455407
