batter,player,game_year,plate_appearances,opportunities,chases,chase_rate,cost_per_chase,cost_per_chase_se,runs_saved_per_600_pa,runs_saved_shrunk,standard_error_per_600_pa,xchase_plus,xchase_plus_raw,xchase_plus_se,xchase_plus_posterior_sd,league_chase_cost_per_600_pa,runs_saved_vs_anchor_per_600_pa,runs_saved_vs_anchor_shrunk,runs_saved_count_only_per_600_pa,shrinkage_factor,chase_rate_rank,value_rank,rank_gap,total_cost,expected_cost,expected_cost_anchor,mean_runs_saved,standard_deviation,scale_to_600_pa
665742,Juan Soto,2024,710,1569,283,18.036966220522626,0.10121172894755256,0.012359381713869803,20.477067639643543,17.40384072603692,3.084498344704336,148.2920998625619,156.81967623771067,8.558852292041639,7.8493587269461385,36.038691163912546,20.477067639643547,17.403840726036922,20.56156424145776,0.15892002719777654,6.0,1.0,5.0,28.642919292157377,52.874115999068906,52.874115999068906,0.015443720017152026,0.09214678091916584,1325.9154929577464
605141,Mookie Betts,2024,516,1051,223,21.217887725975263,0.07136532739574554,0.012244373421717965,20.238666750332055,16.983173366321193,3.2165159144953703,147.12483394326858,156.15816251006947,8.92517405769785,8.129033183546005,36.038691163912546,20.238666750332055,16.983173366321193,20.1732430097749,0.17044649251752989,24.0,2.0,22.0,15.914468009251255,33.31972141453682,33.31972141453682,0.01656065975764564,0.0853262772088404,1222.093023255814
663457,Lars Nootbaar,2024,404,810,138,17.037037037037038,0.09182039434112685,0.014252746361664683,18.57794366419544,15.611656290896052,3.212509401427529,143.31915446066154,151.54999547485932,8.914056803051674,8.120630801277766,36.038691163912546,18.57794366419544,15.611656290896052,18.91429778643222,0.17009431867428046,1.0,3.0,-2.0,12.671214419075506,25.180363152967104,25.180363152967104,0.0154433934986316,0.07600322355812827,1202.970297029703
673490,Ha-Seong Kim,2024,469,926,174,18.790496760259177,0.09409566644274181,0.013721736269628488,17.407141364927604,14.724723908178852,3.1530697901163607,140.858098428734,148.3012584606799,8.749124033876393,7.995347420424678,36.038691163912546,17.407141364927604,14.724723908178852,17.019789658278263,0.16488644534593633,10.0,4.0,6.0,16.372645961037076,29.979228127955487,29.979228127955487,0.014693933225613834,0.08099340970689647,1184.6481876332623
680757,Steven Kwan,2024,543,1045,201,19.23444976076555,0.09325893835928989,0.012220801176189523,16.14688438682981,14.098420529549292,2.8211946615655936,139.12023459849394,144.80430300143237,7.8282384028158205,7.274403625873638,36.038691163912546,16.14688438682981,14.098420529549292,15.685996077794288,0.1364913297902396,13.0,5.0,8.0,18.74504661021727,33.35797698029825,33.35797698029825,0.013983665425914811,0.07898115625476812,1154.6961325966852
595777,Jurickson Profar,2024,663,1320,292,22.12121212121212,0.08178284256862546,0.011834100763725057,16.637376543572948,13.916116481787757,3.2747658869184093,138.61437813735785,146.16531845704995,9.086805822175934,8.250589102469018,36.038691163912546,16.637376543572948,13.916116481787757,16.83792336054006,0.1755820816289185,33.0,6.0,27.0,23.880590030038633,42.26489111068674,42.26489111068674,0.013927500818672809,0.0995991357937452,1194.5701357466064
608385,Jesse Winker,2024,504,958,185,19.31106471816284,0.10189905500231201,0.012496039094687815,16.258898002242027,13.753083275467787,3.1627019326996546,138.16199432136835,145.11511788342335,8.775851260288377,8.01572928334958,36.038691163912546,16.258898002242027,13.753083275467787,16.63858676535955,0.16572817899811845,14.0,7.0,7.0,18.85132517542772,32.508799497311024,32.508799497311024,0.014256236244137062,0.08583309949519503,1140.4761904761904
663656,Kyle Tucker,2024,339,695,121,17.41007194244604,0.1200489023690817,0.017045381919469228,17.334949734248994,13.443259515059141,3.9907356992611374,137.30229672857985,148.10094144486413,11.073475673992492,9.651816106993463,36.038691163912546,17.334949734248987,13.443259515059134,16.98672400481351,0.24028593676268414,3.0,8.0,-5.0,14.525917186658885,24.320163786509564,24.320163786509564,0.014092441150864289,0.08552813687376525,1230.0884955752213
457759,Justin Turner,2024,536,1136,286,25.176056338028168,0.08622578743734484,0.011135595809812009,15.970462051469823,12.86990829092773,3.6480877551506294,135.71136430119597,144.31476708971576,10.122697682216755,9.002655002983667,36.038691163912546,15.970462051469823,12.86990829092773,14.574950687331555,0.2090506349626201,75.0,9.0,66.0,24.660575207080623,38.927521306393665,38.927521306393665,0.012558931425451622,0.09669180118824063,1271.641791044776
664238,Dylan Moore,2024,438,854,154,18.0327868852459,0.10802403947039899,0.012397736253816122,14.515649666764011,12.51598501461581,2.9749274602879394,134.72929956776213,140.2779601532791,8.254815489156533,7.612856755576499,36.038691163912546,14.51564966676401,12.515985014615808,14.402472033153087,0.14948774550510402,5.0,10.0,-5.0,16.635702078441444,27.23212633517917,27.23212633517917,0.01240799093294816,0.07431394304393366,1169.86301369863
