batter,game_year,plate_appearances,total_run_value,mean_run_value,run_value_spread,total_neutral_value,runs_per_600_pa,neutral_runs_per_600_pa,context_bonus_per_600_pa,standard_error_per_600_pa,minimum_plate_appearances,runs_per_600_shrunk,shrinkage_factor,player,chase_rate,chases,cost_per_chase,cost_per_chase_se,runs_saved_shrunk,xchase_plus,runs_saved_vs_anchor_shrunk
592450,2024,702,97.19543992499958,0.13845504262820452,0.6051887829460184,89.9378195870819,83.0730255769227,76.86993127101017,6.203094305912529,13.704827205033906,300,43.58737345181869,0.4895541620588714,Aaron Judge,18.87550200803213,282.0,0.113670301610421,0.013177180230842,11.934395081200684,133.11550640649023,11.93439508120068
665742,2024,712,72.23915313560786,0.10145948474102229,0.5349385662595472,66.7969549574445,60.87569084461337,56.28956878436334,4.586122060250034,12.028602212326287,300,36.036753864562144,0.42489488777693085,Juan Soto,18.036966220522626,283.0,0.1012117289475525,0.0123593817138698,17.40384072603692,148.2920998625619,17.403840726036922
660271,2024,725,73.44158128639448,0.10129873280881997,0.5503913822221227,73.96547574483617,60.779239685291984,61.21280751296787,-0.433567827675887,12.26461366217665,300,35.425508752686866,0.4344176967897765,Shohei Ohtani,26.71232876712329,390.0,0.0881184366938822,0.0104553842698004,6.295393875493264,117.4684309340212,6.295393875493266
677951,2024,709,66.44506408035075,0.0937165924969686,0.520444973721146,63.26280936532713,56.22995549818116,53.53693317235018,2.693022325830981,11.727432755868174,300,34.0291613619329,0.4125523277453287,Bobby Witt,31.93215339233038,433.0,0.0655074933269931,0.0097601109606394,6.9879644680548445,119.3901727348308,6.987964468054843
592626,2024,448,40.76093183695382,0.09098422285034335,0.5316014614122696,30.485842958843943,54.59053371020601,40.829253962737425,13.761279747468585,15.069484966021763,300,26.57593521363653,0.5369470302766762,Joc Pederson,30.2713987473904,290.0,0.0776644953490164,0.0126908469678823,6.376122036661458,117.69243507668284,6.376122036661455
670541,2024,634,46.96452757683594,0.07407654191929959,0.5301707016499565,47.60969715511249,44.44592515157976,45.05649573039037,-0.6105705788106093,12.633461042702447,300,25.5735013198777,0.4490307050506888,Yordan Álvarez,30.88356729975227,374.0,0.091584291803852,0.0099735820525031,1.036015240396058,102.87473048253617,1.036015240396057
665489,2024,696,48.626205432133304,0.0698652376898467,0.5270831664864487,48.686551934582475,41.91914261390802,41.97116546084696,-0.05202284693893944,11.987421519502504,300,25.20091902619203,0.423219727636409,Vladimir Guerrero,27.67441860465116,357.0,0.086242204137671,0.0092920937310772,6.584460317561439,118.27053121217344,6.584460317561439
606466,2024,581,43.66569150755888,0.0751560955379671,0.5287843220695041,38.482193095066606,45.09365732278026,39.74064691401026,5.353010408769997,13.162602145570792,300,25.060797392738223,0.46940666458061003,Ketel Marte,26.21895124195032,285.0,0.1023540456746314,0.0115829825654682,3.728844685780673,110.3467816542532,3.728844685780674
667670,2024,613,46.36961174564865,0.07564373857365195,0.5605395699335185,43.09248582470617,45.38624314419117,42.17861581537309,3.207627328818077,13.583987995542872,300,24.540466328733586,0.48512884145932345,Brent Rooker,31.137254901960787,397.0,0.1317222640343435,0.0094717486552379,-8.884580084547284,75.34710668559494,-8.884580084547276
621043,2024,366,31.803754271201875,0.08689550347322916,0.5254368727958814,26.315657380547353,52.1373020839375,43.14042193532353,8.996880148613968,16.47901518902689,300,23.249496495710854,0.5810024385870484,Carlos Correa,25.662482566248254,184.0,0.1033215316062528,0.0131605864890445,4.630462020564935,112.84858542588157,4.630462020564934
608070,2024,679,45.24200559564162,0.06663034697443537,0.5632351241045673,33.579097379027644,39.97820818466123,29.672250997668023,10.305957186993204,12.96898814948755,300,22.6235665656463,0.4620323012431625,José Ramírez,31.652661064425768,452.0,0.0967255784968722,0.0087597165207694,1.314307405161614,103.6469343439356,1.314307405161616
608369,2024,529,36.19280047035504,0.06841739219348779,0.524872068144935,26.479130745639566,41.050435316092674,30.033040543258487,11.017394772834187,13.69231482117222,300,22.154753304612036,0.4890976662171077,Corey Seager,27.836134453781515,265.0,0.1103079347377987,0.0100553736749221,-0.8955870880654888,97.51492893015414,-0.895587088065489
656941,2024,689,40.80388395147817,0.05922189252754451,0.5215367301811332,34.871265095720666,35.533135516526706,30.366849139959943,5.166286376566763,11.921380211421356,300,21.606837534894787,0.42052495228198006,Kyle Schwarber,21.066846725185687,312.0,0.1430009254037043,0.0100615453774369,3.764588437852641,110.44596325857228,3.7645884378526384
