batter,player,game_year,plate_appearances,chases,chases_in_play,chase_rate,chase_plus,xchase_plus,luck,luck_raw,luck_se,luck_z,chase_plus_rank,xchase_plus_rank,rank_move,chase_plus_raw,xchase_plus_raw,chase_plus_se,xchase_plus_se,league_chase_cost_per_600_pa
695506,Jac Caglianone,2026,507,388,82,39.27125506072874,97.0507775178467,80.12690663883983,16.92387087900687,17.92732059737942,11.315892840345613,1.5842603717014236,189.0,249.0,60.0,91.94781320574504,74.02049260836561,15.716833270329245,9.316845198012311,42.89604940458815
676391,Ernie Clement,2026,566,424,175,45.39614561027837,92.09665470014625,75.47106896119615,16.625585738950093,13.83990123552313,13.515836546367307,1.0239766653025204,216.0,257.0,41.0,83.01561752349983,69.1757162879767,16.04069151710194,8.680852911661834,42.89604940458815
664034,Ty France,2026,437,302,51,33.114035087719294,101.53155187436776,85.60156030186789,15.929991572499873,18.53011928517691,9.125718485879284,2.0305381229817203,152.0,232.0,80.0,100.17408083177028,81.64396154659337,13.524310891496198,8.495491451322426,42.89604940458815
691777,Max Muncy,2026,272,184,21,33.273056057866185,96.31712079553012,80.52194897142186,15.795171824108252,18.25690399258633,11.617529348399268,1.5714962661232161,193.0,247.0,54.0,88.5070677430552,70.25016375046887,18.497671665354083,12.180967901405,42.89604940458815
643289,Mauricio Dubón,2026,552,408,138,37.569060773480665,114.20949252643832,98.43050404558969,15.77898848084864,26.920669124766434,15.530890831439507,1.7333628455020984,61.0,168.0,107.0,124.08926413968054,97.1685950149141,18.13827803551056,8.262858391237113,42.89604940458815
691594,Javier Sanoja,2026,422,289,116,38.430851063829785,113.47142660996008,98.20609164947508,15.265334960484992,29.686236688175853,18.265661245829644,1.62524839854641,66.0,170.0,104.0,126.0299768485412,96.34374016036534,21.235368826755074,9.869653808355944,42.89604940458815
671277,Luis García,2026,490,381,103,38.640973630831645,104.42026851880875,89.93283459668451,14.48743392212424,20.511383917352077,14.759632779774034,1.3896947317998316,128.0,218.0,90.0,104.86370594998851,84.35232203263644,19.97074529323933,11.450595272363,42.89604940458815
676356,Jonny Deluca,2026,317,208,57,35.61643835616438,94.71275552342018,80.30201755305015,14.410737970370036,11.663802397936053,16.49562261605871,0.7070847017669514,201.0,248.0,47.0,83.71631241275216,72.05251001481611,19.97321366768765,10.86742937985222,42.89604940458815
702332,Caleb Durbin,2026,527,267,96,28.16455696202532,127.97149982671344,113.9042853005562,14.067214526157244,25.682080652391164,10.820418878343842,2.3734830362058985,11.0,67.0,56.0,140.97425659374136,115.2921759413502,13.563044756879432,7.397312284011397,42.89604940458815
676724,Jared Young,2026,311,182,47,28.217054263565892,108.54930638512774,94.52305561151314,14.026250773614592,21.38701442659176,15.625022949086194,1.3687669129370814,101.0,188.0,87.0,112.98725734188524,91.60024291529348,18.260514584542527,9.944572599972668,42.89604940458815
802415,Chandler Simpson,2026,554,258,116,30.105017502917157,116.71858576144912,102.86600527354568,13.852580487903438,19.357480665041876,10.173150472603702,1.9028009776491146,43.0,143.0,100.0,121.97371550907904,102.61623484403717,11.84710135822314,6.498506585278252,42.89604940458815
624585,Jorge Soler,2026,363,208,31,27.84471218206158,103.39973745270218,89.69411047043778,13.705626982264405,17.88629764299722,13.279870761426418,1.3468728697986228,140.0,220.0,80.0,102.81568177121044,84.92938412821321,17.519473770227304,10.497501757493271,42.89604940458815
662139,Daulton Varsho,2026,489,358,100,35.83583583583583,108.12693566964752,94.54102825884756,13.585907410799962,19.812777611411875,13.472857105599275,1.4705698617687966,103.0,187.0,84.0,111.56240968465768,91.7496320732458,16.876813723614156,9.726819719476646,42.89604940458815
645277,Ozzie Albies,2026,617,484,152,38.90675241157556,99.95121843392056,86.73904275534946,13.2121756785711,14.27721731455999,10.903065692173177,1.309468154888672,169.0,228.0,59.0,97.50658727411816,83.22936995955817,14.219758100202396,8.246320933058303,42.89604940458815
677588,José Tena,2026,275,174,38,29.845626072041163,97.97713066558788,84.82901663456794,13.148114031019944,16.719402864037946,12.452770112739845,1.3426251920392482,182.0,237.0,55.0,92.4796532806312,75.76025041659325,17.514283212320095,12.61091255366471,42.89604940458815
671739,Michael Harris,2026,557,480,119,44.40333024976873,88.18801121482525,75.43115905189823,12.756852162927018,10.005265462096133,11.609893896991679,0.8617878467165551,233.0,258.0,25.0,76.95368196398101,66.94841650188488,15.487007008742252,10.069937059852805,42.89604940458815
691723,Coby Mayo,2026,386,275,41,32.62158956109134,94.15331338868953,82.19103408582767,11.962279302861859,13.62568160103855,10.187278623486106,1.3375192830816889,206.0,242.0,36.0,86.76050130773221,73.13481970669366,15.906809767326475,11.849450003587538,42.89604940458815
664040,Brandon Lowe,2026,591,434,58,33.591331269349844,93.70856132023223,82.01250755038109,11.696053769851147,11.393828218921612,9.91688000792449,1.148932749999688,210.0,243.0,33.0,88.29896341013709,76.90513519121548,13.310960919476557,8.86394684478419,42.89604940458815
664761,Alec Bohm,2026,563,276,88,26.640926640926644,125.4589553075,114.20561141075764,11.253343896742365,22.290098257292314,11.58206205624558,1.9245362482989348,16.0,66.0,50.0,138.1585196727185,115.8684214154262,14.168499119480376,7.963939733152492,42.89604940458815
678882,Ceddanne Rafaela,2026,564,486,120,45.50561797752809,95.57059393140658,84.60947303610823,10.96112089529835,10.541998975291818,10.287949603513075,1.0246938779416253,199.0,239.0,40.0,90.85800617206904,80.31600719677722,13.721215499624954,8.63018885143115,42.89604940458815
606192,Teoscar Hernández,2026,424,269,69,29.78959025470653,110.67798991960146,100.00552453334258,10.672465386258878,19.41929689393396,13.72641182633674,1.4147394919824812,85.0,158.0,73.0,117.66707691168084,98.24778001774688,18.884626987922537,11.19711993632265,42.89604940458815
694192,Jackson Chourio,2026,501,344,73,33.95853899308983,104.35479192675884,93.84380000645922,10.510991920299617,13.585195767136781,11.298730747297775,1.202364767421849,130.0,195.0,65.0,104.5808616455859,90.99566587844912,15.6891818670549,9.511867742108748,42.89604940458815
