xchase_plus_rank,player,batter,game_year,plate_appearances,chase_rate,xchase_plus,xchase_plus_posterior_sd,chase_plus,chase_plus_posterior_sd,chase_plus_rank,rank_move,luck,luck_se,luck_z,chases,chases_in_play
1.0,Juan Soto,665742,2024,710,18.036966220522626,148.2920998625619,7.849358726946138,147.42165736359598,10.880594276529871,1.0,0.0,-0.8704424989659287,9.293964676793474,1.1518996273676894,283,80
2.0,Mookie Betts,605141,2024,516,21.217887725975263,147.12483394326858,8.129033183546005,131.75173459827113,12.155312790482506,8.0,-6.0,-15.373099344997456,11.759192053535171,-0.5012945775371171,223,69
3.0,Lars Nootbaar,663457,2024,404,17.037037037037038,143.31915446066154,8.120630801277766,138.76238429832398,11.44748439236474,2.0,1.0,-4.556770162337557,9.091741148973025,0.6755211905901111,138,28
4.0,Ha-Seong Kim,673490,2024,469,18.790496760259177,140.858098428734,7.995347420424678,126.29979203871147,12.745222947644512,15.0,-11.0,-14.558306390022523,12.640540000755198,-0.33652924555493213,174,60
5.0,Steven Kwan,680757,2024,543,19.23444976076555,139.12023459849394,7.274403625873638,130.56517628918505,9.42833028832263,10.0,-5.0,-8.55505830930889,8.306121703784289,-0.6800538265469842,201,72
6.0,Jurickson Profar,595777,2024,663,22.12121212121212,138.61437813735785,8.250589102469018,133.4572337446166,11.671823475052836,6.0,0.0,-5.157144392741259,10.763602125424562,0.418279891427098,292,92
7.0,Jesse Winker,608385,2024,504,19.31106471816284,138.16199432136835,8.01572928334958,133.12863164059667,12.166563614534468,7.0,0.0,-5.033362680771688,10.787290118759296,0.6888638027659405,185,45
8.0,Kyle Tucker,663656,2024,339,17.41007194244604,137.30229672857985,9.651816106993463,125.88138589177876,13.748323021294777,16.0,-8.0,-11.420910836801085,15.589916636259485,0.05104500295529986,121,27
9.0,Justin Turner,457759,2024,536,25.176056338028168,135.71136430119597,9.002655002983667,124.42433553547906,11.865213481605135,21.0,-12.0,-11.287028765716911,10.493261821087245,-0.6601889307881276,286,73
10.0,Dylan Moore,664238,2024,438,18.0327868852459,134.72929956776213,7.612856755576499,134.3558273584693,10.240132977758735,4.0,6.0,-0.373472209292828,8.647873531487962,0.7156474144119632,154,26
11.0,Spencer Horwitz,687462,2024,381,26.04712041884817,134.7023256459278,10.864188669083228,133.81033099160013,14.324321640695027,5.0,6.0,-0.8919946543276751,16.09344387589169,1.330598292751232,199,56
12.0,Gabriel Moreno,672515,2024,350,21.823204419889503,133.86038655842577,9.637135520736113,125.37055085717924,15.270128968806064,19.0,-7.0,-8.489835701246534,21.078411906189135,0.8337847894326643,158,56
13.0,Aaron Judge,592450,2024,685,18.87550200803213,133.11550640649023,8.534237984495324,128.97964874540088,11.739163414400831,11.0,2.0,-4.1358576610893465,10.0026457668932,0.39838572005270095,282,42
14.0,Yandy Díaz,650490,2024,622,22.807017543859647,131.68858599044836,8.260777161603741,128.46711846554177,11.451675485865607,12.0,2.0,-3.2214675249065863,10.539507097178072,0.41483219047158,273,99
15.0,Jonathan India,663697,2024,633,18.53582554517134,131.34997926445212,7.2661821810131055,123.56381021999704,8.729904673379455,27.0,-12.0,-7.786169044455079,6.155548688633174,-1.1174186089295148,238,65
16.0,Geraldo Perdomo,672695,2024,387,19.00826446280992,130.29270705899316,7.137433676236258,135.3459269425034,10.886429250412696,3.0,13.0,5.053219883510252,10.664428890552665,1.478451275078149,138,45
17.0,J. P. Crawford,641487,2024,453,18.666666666666668,129.69896474881824,9.032448882285552,125.45015565045917,10.637134688741783,18.0,-1.0,-4.248809098359075,8.582578878107315,-0.17821262510649005,168,45
18.0,Nolan Schanuel,694384,2024,604,21.77625960717336,129.20976982856328,7.877790352927069,115.53968127932345,9.552791867685102,56.0,-38.0,-13.670088549239836,7.60586553171235,-1.8894556311275506,255,89
19.0,Lane Thomas,657041,2024,526,22.98624754420432,128.9232718183604,9.239608877753472,124.1550838730634,11.909674008888915,23.0,-4.0,-4.768187945297001,11.427777098032212,0.0803175374354445,234,57
20.0,Matt Chapman,656305,2024,644,24.418604651162788,128.03502091092523,8.03978166475639,119.33300587166896,10.671551468105994,34.0,-14.0,-8.702015039256267,8.212875024606749,-0.77206454344644,315,85
21.0,Gleyber Torres,650402,2024,665,21.459537572254337,126.28154953760531,7.6278998970128145,120.3620410239794,9.206131553707351,31.0,-10.0,-5.919508513625914,7.067061641449474,-0.676139344021931,297,75
22.0,Sal Frelick,686217,2024,523,26.043737574552683,126.16425726917814,8.244607479914018,123.67861019910885,12.299181860995096,26.0,-4.0,-2.485647070069291,11.883154325655655,0.5632127479333423,262,93
23.0,Isaac Paredes,670623,2024,642,26.779661016949152,125.6939786101156,8.222043339896311,116.79368979027888,11.61158661014469,46.0,-23.0,-8.900288819836717,10.925288335561126,-0.5130905269960853,395,108
24.0,Jon Singleton,572138,2024,406,22.73809523809524,125.57676756777,9.878081781451804,130.91874406055047,12.200817897699356,9.0,15.0,5.341976492780461,9.037475396672438,1.77265719074148,191,38
