game_year,check,group,takes,log_loss,brier_score,auc,calibration_intercept,calibration_slope,in_sample_log_loss,model_coefficients,minimum_out_of_fold_gap,fold_splits,fold_groups,fold_seed,actual_rate,predicted_rate,actual_minus_predicted_per_1000,z,run_fingerprint
2024,summary,distance + count (used),252773,0.1314809835106448,0.04012179797127396,0.9363917359301546,-0.00042388852536363566,0.9989469380618612,0.13140078031708993,19.0,1.879156397241794e-05,5.0,game_pk,0.0,,,,,6113e1c2d8723036
2024,summary,distance only (comparison),252773,0.1341196592988079,0.04087056294981568,0.9328831134279868,-0.0001892570313150492,0.9989996771885152,0.1340912700511378,8.0,7.912237462070711e-06,5.0,game_pk,0.0,,,,,6113e1c2d8723036
2024,by count,0-0,69862,,,,,,,,,,,,0.09115112650654146,0.09133980096418273,-0.1886744576412719,-0.2056628237026986,6113e1c2d8723036
2024,by count,0-1,36318,,,,,,,,,,,,0.03667602841566166,0.03678109569509881,-0.10506727943715433,-0.11966475467643888,6113e1c2d8723036
2024,by count,0-2,21773,,,,,,,,,,,,0.012171037523538328,0.01172736121468456,0.4436763088537677,0.6573127478114842,6113e1c2d8723036
2024,by count,1-0,23446,,,,,,,,,,,,0.09302226392561631,0.09329338695004721,-0.27112302443089986,-0.1716054683460439,6113e1c2d8723036
2024,by count,1-1,24385,,,,,,,,,,,,0.05003075661267172,0.049962613186738995,0.06814342593272626,0.055999796621085916,6113e1c2d8723036
2024,by count,1-2,26355,,,,,,,,,,,,0.018061088977423638,0.018007704621540704,0.0533843558829343,0.07210123722981018,6113e1c2d8723036
2024,by count,2-0,7233,,,,,,,,,,,,0.11184847227982857,0.11119930065475286,0.6491716250757035,0.21271432794324635,6113e1c2d8723036
2024,by count,2-1,10789,,,,,,,,,,,,0.07109092594309019,0.07073970848915158,0.3512174539386098,0.16691746634292443,6113e1c2d8723036
2024,by count,2-2,17950,,,,,,,,,,,,0.029637883008356545,0.029577310447488753,0.0605725608677915,0.05411907988174194,6113e1c2d8723036
2024,by count,3-0,2369,,,,,,,,,,,,0.14985225833685098,0.15212997201986017,-2.2777136830091917,-0.3790181116720854,6113e1c2d8723036
2024,by count,3-1,4113,,,,,,,,,,,,0.09044493070751276,0.09071009861737268,-0.2651679098599202,-0.06975283851287253,6113e1c2d8723036
2024,by count,3-2,8180,,,,,,,,,,,,0.04841075794621027,0.04801291594138561,0.397842004824657,0.19352278056703862,6113e1c2d8723036
2024,by distance decile,"(-0.001, 0.153]",25278,,,,,,,,,,,,0.37835271777830526,0.3797146981357375,-1.3619803574322353,-0.47082259671980253,6113e1c2d8723036
