game_year,league_plate_appearances,opportunities_per_pa,league_chase_rate,league_cost_per_chase,league_chase_cost_per_600_pa,xchase_plus_points_per_run,runs_saved_for_110,runs_saved_for_130,league_average_xchase_plus,qualified,qualified_mean_xchase_plus,qualified_pa_weighted_xchase_plus,qualified_median_xchase_plus,qualified_sd_xchase_plus,qualified_sd_xchase_plus_raw,talent_sd_xchase_plus,shrink_target_xchase_plus,median_xchase_plus_se,run_fingerprint
2024,181953,1.946348782377867,28.624231950844855,0.109562753967701,36.62424669819069,2.730431586049255,3.6624246698190692,10.987274009457206,100.0,269,102.03680338172914,102.60166985687775,101.10685673650416,17.520803081968587,22.09879811691097,19.700231571981544,103.15832187868041,9.97684331195325,6113e1c2d8723036
2025,182445,1.9016854394475047,28.268958619755413,0.11543817028771426,37.234812930425115,2.6856587190824457,3.7234812930425116,11.170443879127534,100.0,266,102.37567146380503,102.8563562704231,100.60698449982615,17.4737701657436,21.85409757867643,19.517163329905237,103.69375834234839,9.426544229468762,6113e1c2d8723036
2026,164551,2.0221390328834223,30.519466859006148,0.1158452127255993,42.89604940490205,2.3312170091955426,4.2896049404902055,12.868814821470615,100.0,267,103.78993866940469,104.1091050383212,103.38207985494334,16.346319469726048,20.374457056900958,18.78591507503925,104.95327514002551,9.389999924777447,6113e1c2d8723036
