seasons,hitters,stat,r_with_next_xwoba,r_squared_without,r_squared_with,r_squared_gain,next_xwoba_per_10_points,t_value
2024-2025,189,xChase+,0.2892065164667288,0.4378114294060642,0.4390362171619133,0.0012247877558491105,0.9880386349866114,0.6355487526695991
2024-2025,189,Chase+,0.25564947785707043,0.4378114294060642,0.44167860754180044,0.0038671781357362267,1.7364969720471242,1.1319853825657324
2025-2026,187,xChase+,0.1308861490613875,0.3545234295616161,0.362822046527874,0.008298616966257888,-2.5125702839753927,-1.5438248752602468
2025-2026,187,Chase+,0.1206440090487266,0.3545234295616161,0.35777534435116853,0.003251914789552446,-1.5032767364931807,-0.9626128087004457
all pairs,376,xChase+,0.21083981950229627,0.3984085383147651,0.3990815107180503,0.0006729724032852324,-0.7243794038052337,-0.6445814441437766
all pairs,376,Chase+,0.18742749785587082,0.3984085383147651,0.3984260689774375,1.7530662672404773e-05,0.11381432586363242,0.10397803776662133
