batter,player,game_year,plate_appearances,opportunities,chases,chase_rate,cost_per_chase,cost_per_chase_se,runs_saved_per_600_pa,runs_saved_shrunk,standard_error_per_600_pa,xchase_plus,xchase_plus_raw,xchase_plus_se,xchase_plus_posterior_sd,league_chase_cost_per_600_pa,runs_saved_vs_anchor_per_600_pa,runs_saved_vs_anchor_shrunk,runs_saved_count_only_per_600_pa,shrinkage_factor,chase_rate_rank,value_rank,rank_gap,total_cost,expected_cost,expected_cost_anchor,mean_runs_saved,standard_deviation,scale_to_600_pa
672695,Geraldo Perdomo,2026,608,1278,270,21.12676056338028,0.0912560606004826,0.010528669655876982,25.70604616242172,22.94245782431111,3.01090116035737,152.22035837412304,158.51068587607702,6.853247321057063,6.4380799666117,43.93393407977812,17.851430638645233,15.087842300534621,25.62880365539964,0.1174894143325421,16.0,1.0,15.0,24.6391363621303,50.68792980671765,42.72858607595747,0.02038246748402766,0.08534604512616842,1261.1842105263156
621493,Taylor Ward,2026,590,1221,186,15.233415233415235,0.12561404405862164,0.012613566867114949,25.26443720231317,22.795738444717074,2.855841538584394,151.88640380650426,157.5055198936575,6.500309153736539,6.142841056539794,43.93393407977812,17.38503072460212,14.916331967006023,25.236321968732632,0.10696078018447525,1.0,2.0,-1.0,23.364212194903626,48.20757544384492,40.459492407429046,0.020346734847617762,0.08036686648581416,1241.6949152542372
678246,Miguel Vargas,2026,619,1267,268,21.152328334648775,0.09447120232403218,0.013404601986952877,23.19319526088564,19.855319118016325,3.5863943223448955,145.19358335167922,152.79107311166334,8.163153146796473,7.486652390128058,43.93393407977812,16.032239449511177,12.694363306641861,22.944376936977275,0.15887711447946737,17.0,3.0,14.0,25.318282222840626,49.245928666987645,41.85820925491966,0.01888527738291004,0.10394632259853794,1228.1098546042003
680757,Steven Kwan,2026,567,1123,226,20.124666073018698,0.09539325544909641,0.01076979148820396,21.486382571024862,19.395439241183425,2.876205816685917,144.14683011533617,148.90612011209484,6.546661201482921,6.181914081124746,43.93393407977812,15.127187852600718,13.036244522759281,19.62855447585809,0.10832580748016328,10.0,4.0,6.0,21.55887573149579,41.863507261114286,35.85406825220347,0.01808070483492297,0.08110766348663878,1188.3597883597884
650402,Gleyber Torres,2026,376,799,154,19.27409261576971,0.12270441869316104,0.012899318434052938,23.00472445675478,19.360974136928032,3.8006545549473936,144.0683825440515,152.36208625201033,8.650840482543439,7.857486766341953,43.93393407977812,15.124130684428595,11.480380364601848,22.194728095911046,0.17500615452782223,6.0,5.0,1.0,18.8964804787468,33.31277447164646,28.374269040988718,0.018042921142552768,0.0842600287261441,1275.0
641487,J. P. Crawford,2026,413,876,166,18.949771689497716,0.13375151307450736,0.013680733845984512,19.868605885085042,16.84425960530087,3.74802438661106,138.33997559770987,145.22382595878238,8.531046593289714,7.7673948884509825,43.93393407977812,12.035853215797621,9.011506936013449,18.852612688051963,0.1710160122508754,4.0,6.0,-2.0,22.20275117036822,35.878974887935094,30.487430133908916,0.015612127531469032,0.0871664092938147,1272.639225181598
641343,Jake Bauers,2026,518,1143,238,20.822397200349958,0.1389848884626312,0.011598194465723306,16.991462538276558,14.553278342630305,3.6636892283734794,133.12537028030204,138.67503080289225,8.339087552962392,7.6216730983640195,43.93393407977812,9.007806173101889,6.569621977455636,15.620296336205914,0.16465944243366487,14.0,7.0,7.0,33.07840345410623,47.747699445485,40.85514278355086,0.012834029738739075,0.0935565119651334,1323.938223938224
666018,Jonathan Aranda,2026,607,1227,352,28.687856560717194,0.0779554409745587,0.011478397299153157,17.28442179971304,14.358910604520432,4.045065440570776,132.68296114444607,139.34184853176785,9.207155073400623,8.267300397414335,43.93393407977812,10.501826908359861,7.5763157131672525,18.152555688488736,0.19373738882077238,115.0,8.0,107.0,27.440315223044664,44.92638861042103,38.06466344533539,0.014251078555318958,0.11682632391533812,1212.8500823723227
663757,Trent Grisham,2026,486,972,187,19.238683127572017,0.14014791712463257,0.011911645217118556,16.155245222499687,14.22174105095393,3.307178408685516,132.37074336463738,136.77167902415462,7.527617268874954,6.987348505146106,43.93393407977812,8.702438119977415,6.768933948431659,16.019052170741595,0.1383919457289983,5.0,9.0,-4.0,26.20766050230629,39.29340913253104,33.256635379487996,0.013462704352083073,0.08592301550307153,1200.0
668885,Austin Martin,2026,336,648,116,17.901234567901234,,,16.400098938927126,14.122593306731774,3.6042152540604464,132.14506873226296,137.32900156208808,8.203716169637064,7.517906325979701,43.93393407977812,9.05477928639935,6.777273654203999,16.422455294994364,0.16020638676257673,2.0,10.0,-8.0,15.798110243969973,24.98216564976916,20.86878664435361,0.014172925008949368,0.0792886903511776,1157.142857142857
