game_year,player,batter,expect_chase_plus_to,chase_plus,xchase_plus,luck,luck_z,chases_in_play,plate_appearances
2024,Brandon Lowe,664040,rise,82.9906669776376,95.5602626116406,-12.569595634002994,-2.005547613713472,40,421
2024,Royce Lewis,668904,rise,72.55616659747463,89.03294016313592,-16.47677356566129,-2.052047380803957,48,323
2024,Alec Burleson,676475,rise,88.83633442968716,103.84886773740864,-15.012533307721483,-2.0570172117712797,118,593
2024,Danny Jansen,643376,rise,111.42634298276305,123.85103069237137,-12.424687709608321,-2.193314851189451,41,323
2024,Whit Merrifield,593160,rise,101.23402858105058,116.82695024151872,-15.592921660468136,-2.284240747638721,49,336
2024,Andrew Benintendi,643217,rise,106.55003552569536,125.17803316138426,-18.6279976356889,-2.362986789604686,85,523
2024,George Springer,543807,rise,101.8484924323507,110.94414709562696,-9.095654663276264,-2.3818650333106097,58,613
2024,Brandon Drury,592273,rise,95.85845451728912,117.86893264493273,-22.01047812764361,-2.5251224268928714,65,361
2024,Willson Contreras,575929,rise,81.44379700906786,100.51284897126354,-19.069051962195672,-2.8655688943311577,24,353
2024,Nick Castellanos,592206,rise,67.75649978613944,82.72972200376937,-14.973222217629925,-2.8843823790143244,100,659
2025,Bobby Witt,677951,fall,123.3190724989962,107.38337922320014,15.93569327579607,2.4566163901508666,113,676
2025,Jj Bleday,668709,fall,107.33121049532234,93.65056437607883,13.680646119243505,2.03313484602522,19,342
2025,J. P. Crawford,641487,rise,109.71951946601094,124.41719236683774,-14.697672900826802,-2.1324103120328934,67,654
2025,Danny Jansen,643376,rise,102.54918135959714,114.88361051467702,-12.334429155079874,-2.1730018160322127,29,339
2025,Jacob Young,696285,rise,100.21597229748924,119.40871389222087,-19.19274159473163,-2.2108588951687778,42,366
2025,Rowdy Tellez,642133,rise,82.16410833726513,98.86058175931126,-16.696473422046125,-2.2454804894702116,48,312
2025,Ezequiel Tovar,678662,rise,60.78956670715272,79.16250815374494,-18.372941446592215,-2.55263724426302,53,391
2025,Ben Rice,700250,rise,93.50624724919916,113.12923072529848,-19.62298347609932,-2.649572028013058,53,531
2025,Nick Allen,669397,rise,95.61060810400136,111.49462688049664,-15.884018776495282,-2.8376716600112384,38,415
2025,Eric Wagaman,676572,rise,77.40146528428608,97.46754926835916,-20.06608398407309,-3.0016076805752685,59,515
2026,Caleb Durbin,702332,fall,127.97149982671344,113.9042853005562,14.067214526157244,2.3734830362058985,96,527
2026,Ty France,664034,fall,101.53155187436776,85.60156030186789,15.929991572499873,2.0305381229817203,51,437
2026,Matt Mclain,680574,rise,99.07862117421922,111.9726207040328,-12.893999529813584,-2.0242975368231764,49,452
2026,J. T. Realmuto,592663,rise,92.7219673811687,105.84584957215682,-13.123882190988127,-2.060750402112385,70,409
2026,Drew Gilbert,687551,rise,96.13839199510647,111.31529833561214,-15.176906340505667,-2.066761550311702,42,356
2026,Vladimir Guerrero,665489,rise,102.49203094440466,120.67540569912262,-18.18337475471796,-2.0788789759436295,111,548
2026,Cal Raleigh,663728,rise,83.58637981913866,92.4021227822448,-8.815742963106146,-2.0821866077722477,81,459
2026,Nico Hoerner,663538,rise,97.3985183962752,112.35318773266886,-14.954669336393664,-2.084826897858757,131,623
2026,Oswald Peraza,672724,rise,64.66765217441323,74.81834481286239,-10.150692638449158,-2.144413870035704,44,344
2026,Tim Tawa,694374,rise,90.15242493994218,106.15804591561924,-16.00562097567706,-2.2147511515893052,57,295
2026,Maikel García,672580,rise,94.59165138651464,110.80626858421935,-16.21461719770471,-2.3181604153535202,48,309
2026,Austin Wells,669224,rise,85.54084474941747,98.24473408432776,-12.703889334910286,-2.319171051506037,27,344
2026,Nick Kurtz,701762,rise,113.59267828582928,122.01423079583276,-8.42155251000348,-2.3327605643298437,22,428
2026,Brady House,691781,rise,85.74861783774654,100.71900042120936,-14.970382583462822,-2.3502403163288594,47,312
2026,Michael Massey,686681,rise,79.3910934104291,91.83980206389415,-12.448708653465062,-2.3825132147685832,82,391
2026,Cam Smith,701358,rise,80.30079275969929,92.67993196552372,-12.37913920582443,-2.4272738294035516,59,506
2026,Luis Arráez,650333,rise,100.75001719607106,125.29223799275816,-24.542220796687104,-2.4693319816400505,149,593
2026,Nolan Arenado,571448,rise,78.84361050922992,93.42463574273266,-14.581025233502743,-2.712412002105553,107,529
